step,gradient,corrected_weight,uncorrected_weight,corrected_update,uncorrected_update,relative_update_gap
1,0.1784216321332776,0.7990000000560471,0.7968377279445233,-0.0009999999439529875,-0.00316227205547675,2.1622722327126613
2,0.24540944490441768,0.798004121474952,0.7926056548183621,-0.0009958785810950778,-0.004232073126161245,3.249587456241519
3,0.21888732632264046,0.7970060417134616,0.7876649290526914,-0.0009980797614904786,-0.004940725765670751,3.950231390618057
4,0.11038858901506352,0.7960573568749574,0.7825025539456029,-0.0009486848385042432,-0.0051623751070885016,4.441612322199467
5,-0.030352455610471174,0.7953003003176993,0.7781137942442637,-0.0007570565572581415,-0.004388759701339065,4.79713584046348
6,-0.1387694775821037,0.7948602981502715,0.7754488631035398,-0.00044000216742774836,-0.00266493114072395,5.056631848663681
7,-0.16580323505042596,0.794691725760114,0.7743961454816799,-0.00016857239015738546,-0.0010527176218599066,5.24489942200529
8,-0.10094231471282542,0.7946562282190165,0.774169716735534,-3.549754109755393e-05,-0.0002264287461458742,5.378716360200988
9,0.02287036431228146,0.7946003273209978,0.7738080337957194,-5.5900898018689755e-05,-0.00036168293981465497,5.470073874193057
10,0.14477226117498718,0.7944065732924251,0.7725432313617092,-0.00019375402857267553,-0.0012648024340101399,5.527876830884696
11,0.2046502270677369,0.7940576101286947,0.7702544083710806,-0.00034896316373039994,-0.0022888229906285907,5.558924346516061
12,0.1714595874705697,0.7936090886458084,0.7673082874398869,-0.00044852148288627915,-0.002946120931193746,5.568516879582161
13,0.057873594005039816,0.7931563845031042,0.7643381620958105,-0.0004527041427041774,-0.002970125344076374,5.560853024968279
14,-0.08562744134882705,0.7928265046386801,0.762180978778216,-0.0003298798644241552,-0.002157183317594513,5.539299757989579
15,-0.1944481935618984,0.7927047161758762,0.7613885520357879,-0.00012178846280385433,-0.0007924267424280229,5.506583006177366
16,-0.22020965094698147,0.7927723431328636,0.7618257553180778,6.762695698733884e-05,0.00043720328228987983,5.464926144344086
17,-0.15345524853411494,0.7929486872211423,0.7629572060551693,0.00017634408827871818,0.0011314507370914551,5.416153487964714
18,-0.02805355687891777,0.7931301968491821,0.7641119283496922,0.00018150962803980555,0.0011547222945229336,5.361768832834035
19,0.09477236960741695,0.7932208051189368,0.7646830337161871,9.060826975475057e-05,0.0005711053664948031,5.303015917207271
20,0.1552770334705267,0.7931840033482399,0.7644533565990862,-3.6801770696900005e-05,-0.00022967711710086583,5.240925715028507
